D_TEMPORAL_0;D_TIPO_EMPRESA_0;D_TIPO_PERSONAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2008;215120;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;846.1;A
2008;215120;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;915.8;A
2008;215120;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1455.2;A
2008;215120;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;838.5;A
2008;215120;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;616.7;A
2008;215122;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;21.8;A
2008;215122;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;16.7;A
2008;215122;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;5.1;A
2008;215122;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;9.7;A
2008;215122;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;8.1;A
2008;215122;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1.6;A
2008;215122;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;10.575;A
2008;215122;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;7.6;A
2008;215122;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;2.975;A
2008;215122;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1.525;A
2008;215122;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1.0;A
2008;215122;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;0.525;A
2008;215124;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;6315.46169516;A
2008;215124;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;1879.334693195;A
2008;215124;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;4436.127001965;A
2008;215124;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;2848.138047588;A
2008;215124;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;797.779608325;A
2008;215124;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;2050.358439263;A
2008;215124;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2173.616374049;A
2008;215124;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;645.163099974;A
2008;215124;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1528.453274075;A
2008;215124;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1293.707273523;A
2008;215124;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;436.391984896;A
2008;215124;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;857.315288627;A
2009;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;24766.680661277;A
2009;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;10131.580281206;A
2009;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;14635.100380071;A
2009;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;14665.866612943;A
2009;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5790.570498699;A
2009;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;8875.296114244;A
2009;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;6125.837285651;A
2009;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;2607.338839628;A
2009;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;3518.498446023;A
2009;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3974.976762683;A
2009;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1733.670942879;A
2009;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;2241.305819804;A
2009;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;6099.0;A
2009;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2905.6;A
2009;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;3193.4;A
2009;215117;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3345.6;A
2009;215117;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1575.6;A
2009;215117;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1770.0;A
2009;215117;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;1762.026777312;A
2009;215117;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;922.874113336;A
2009;215117;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;839.152663976;A
2009;215117;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;991.373222688;A
2009;215117;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;407.125886664;A
2009;215117;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;584.247336024;A
2009;215120;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;11679.1;A
2009;215120;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;5148.1;A
2009;215120;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;6531.0;A
2009;215120;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;8133.5;A
2009;215120;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;3273.5;A
2009;215120;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;4860.0;A
2009;215120;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;1956.5;A
2009;215120;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;975.4;A
2009;215120;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;981.1;A
2009;215120;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1589.1;A
2009;215120;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;899.2;A
2009;215120;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;689.9;A
2009;215122;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;66.2;A
2009;215122;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;34.7;A
2009;215122;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;31.5;A
2009;215122;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;24.6;A
2009;215122;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;10.7;A
2009;215122;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;13.9;A
2009;215122;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;23.3;A
2009;215122;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;12.7;A
2009;215122;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;10.6;A
2009;215122;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;18.3;A
2009;215122;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;11.3;A
2009;215122;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;7.0;A
2009;215124;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;6922.380661277;A
2009;215124;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2043.180281206;A
2009;215124;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;4879.200380071;A
2009;215124;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3162.166612943;A
2009;215124;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;930.770498699;A
2009;215124;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;2231.396114244;A
2009;215124;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2384.010508339;A
2009;215124;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;696.364726292;A
2009;215124;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1687.645782047;A
2009;215124;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1376.203539995;A
2009;215124;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;416.045056215;A
2009;215124;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;960.15848378;A
2010;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;25774.028450492;A
2010;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;10312.580519725;A
2010;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;15461.447930767;A
2010;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;15064.305484567;A
2010;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5743.598057286;A
2010;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;9320.707427281;A
2010;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;7046.090013948;A
2010;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;2922.811793662;A
2010;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;4123.278220286;A
2010;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3663.632951977;A
2010;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1646.170668777;A
2010;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;2017.4622832;A
2010;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;6141.8;A
2010;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2905.2;A
2010;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;3236.6;A
2010;215117;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3268.5;A
2010;215117;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1471.7;A
2010;215117;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1796.8;A
2010;215117;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2188.906045186;A
2010;215117;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1065.150531099;A
2010;215117;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1123.755514087;A
2010;215117;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;684.393954814;A
2010;215117;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;368.349468901;A
2010;215117;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;316.044485913;A
2010;215120;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;12179.5;A
2010;215120;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;5338.2;A
2010;215120;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;6841.3;A
2010;215120;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;8421.4;A
2010;215120;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;3343.7;A
2010;215120;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;5077.7;A
2010;215120;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2151.007057166;A
2010;215120;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1138.035674529;A
2010;215120;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1012.971382637;A
2010;215120;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1607.092942834;A
2010;215120;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;856.464325471;A
2010;215120;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;750.628617363;A
2010;215122;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;23.1;A
2010;215122;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;15.1;A
2010;215122;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;8.0;A
2010;215122;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;13.1;A
2010;215122;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;8.1;A
2010;215122;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;5.0;A
2010;215122;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;8.0;A
2010;215122;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;5.0;A
2010;215122;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;3.0;A
2010;215122;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;2.0;A
2010;215122;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;2.0;A
2010;215122;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;0.0;A
2010;215124;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;7429.628450492;A
2010;215124;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2054.080519725;A
2010;215124;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;5375.547930767;A
2010;215124;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3361.305484567;A
2010;215124;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;920.098057286;A
2010;215124;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;2441.207427281;A
2010;215124;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2698.176911596;A
2010;215124;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;714.625588034;A
2010;215124;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1983.551323562;A
2010;215124;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1370.146054329;A
2010;215124;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;419.356874405;A
2010;215124;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;950.789179924;A
2011;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;25433.799084905;A
2011;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;10287.916511994;A
2011;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;15145.882572911;A
2011;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;14609.346896293;A
2011;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5600.632634922;A
2011;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;9008.714261371;A
2011;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;7406.515658756;A
2011;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;3080.788415668;A
2011;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;4325.727243088;A
2011;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3417.936529856;A
2011;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1606.495461404;A
2011;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;1811.441068452;A
2011;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;5678.7;A
2011;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2690.9;A
2011;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;2987.8;A
2011;215117;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;2727.3;A
2011;215117;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1157.7;A
2011;215117;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1569.6;A
2011;215117;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2351.186927601;A
2011;215117;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1213.564939869;A
2011;215117;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1137.621987732;A
2011;215117;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;600.213072399;A
2011;215117;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;319.635060131;A
2011;215117;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;280.578012268;A
2011;215120;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;12268.5;A
2011;215120;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;5471.5;A
2011;215120;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;6797.0;A
2011;215120;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;8509.2;A
2011;215120;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;3462.7;A
2011;215120;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;5046.5;A
2011;215120;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2147.004303279;A
2011;215120;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1110.0125;A
2011;215120;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1036.991803279;A
2011;215120;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1612.295696721;A
2011;215120;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;898.7875;A
2011;215120;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;713.508196721;A
2011;215122;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;25.3;A
2011;215122;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;15.2;A
2011;215122;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;10.1;A
2011;215122;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;12.5;A
2011;215122;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;6.7;A
2011;215122;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;5.8;A
2011;215122;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;9.0;A
2011;215122;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;5.7;A
2011;215122;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;3.3;A
2011;215122;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3.8;A
2011;215122;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;2.8;A
2011;215122;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;1.0;A
2011;215124;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;7461.299084905;A
2011;215124;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2110.316511994;A
2011;215124;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;5350.982572911;A
2011;215124;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3360.346896293;A
2011;215124;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;973.532634922;A
2011;215124;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;2386.814261371;A
2011;215124;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2899.324427876;A
2011;215124;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;751.510975799;A
2011;215124;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;2147.813452077;A
2011;215124;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1201.627760736;A
2011;215124;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;385.272901273;A
2011;215124;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;816.354859463;A
2012;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;24647.100295184;A
2012;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;9928.077069106;A
2012;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;14719.023226078;A
2012;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;14280.205067258;A
2012;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5534.012579927;A
2012;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;8746.192487331;A
2012;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;7012.960308739;A
2012;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;2810.887254906;A
2012;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;4202.073053833;A
2012;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3353.934919187;A
2012;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1583.177234273;A
2012;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;1770.757684914;A
2012;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;5407.9;A
2012;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2481.2;A
2012;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;2926.7;A
2012;215117;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;2658.9;A
2012;215117;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1090.7;A
2012;215117;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;1568.2;A
2012;215117;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2123.688391054;A
2012;215117;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1065.275793944;A
2012;215117;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1058.41259711;A
2012;215117;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;625.311608946;A
2012;215117;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;325.224206056;A
2012;215117;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;300.08740289;A
2012;215120;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;11945.9;A
2012;215120;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;5318.9;A
2012;215120;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;6627.0;A
2012;215120;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;8280.7;A
2012;215120;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;3423.7;A
2012;215120;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;4857.0;A
2012;215120;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2045.430163934;A
2012;215120;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;1012.24;A
2012;215120;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;1033.190163934;A
2012;215120;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1619.769836066;A
2012;215120;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;882.96;A
2012;215120;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;736.809836066;A
2012;215122;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;55.4;A
2012;215122;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;27.8;A
2012;215122;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;27.6;A
2012;215122;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;11.9;A
2012;215122;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;7.3;A
2012;215122;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;4.6;A
2012;215122;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;34.3;A
2012;215122;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;13.3;A
2012;215122;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;21.0;A
2012;215122;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;9.2;A
2012;215122;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;7.2;A
2012;215122;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;2.0;A
2012;215124;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;7237.900295184;A
2012;215124;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2100.177069106;A
2012;215124;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;5137.723226078;A
2012;215124;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;3328.705067258;A
2012;215124;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;1012.312579927;A
2012;215124;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;2316.392487331;A
2012;215124;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;2809.541753751;A
2012;215124;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;720.071460962;A
2012;215124;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;2089.470292789;A
2012;215124;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;1099.653474175;A
2012;215124;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;367.793028217;A
2012;215124;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;731.860445958;A
2013;215125;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;24139.066301895;A
2013;215125;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;9708.115620557;A
2013;215125;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;14430.950681338;A
2013;215125;215155;3691;3143;Personal general en I+D en equivalencia a jornada completa;13868.064589961;A
2013;215125;215155;3690;3143;Personal general en I+D en equivalencia a jornada completa;5310.751804277;A
2013;215125;215155;3689;3143;Personal general en I+D en equivalencia a jornada completa;8557.312785684;A
2013;215125;215156;3691;3143;Personal general en I+D en equivalencia a jornada completa;6827.698230697;A
2013;215125;215156;3690;3143;Personal general en I+D en equivalencia a jornada completa;2766.151175129;A
2013;215125;215156;3689;3143;Personal general en I+D en equivalencia a jornada completa;4061.547055568;A
2013;215125;215157;3691;3143;Personal general en I+D en equivalencia a jornada completa;3443.303481237;A
2013;215125;215157;3690;3143;Personal general en I+D en equivalencia a jornada completa;1631.212641151;A
2013;215125;215157;3689;3143;Personal general en I+D en equivalencia a jornada completa;1812.090840086;A
2013;215117;215154;3691;3143;Personal general en I+D en equivalencia a jornada completa;5222.9;A
2013;215117;215154;3690;3143;Personal general en I+D en equivalencia a jornada completa;2461.6;A
2013;215117;215154;3689;3143;Personal general en I+D en equivalencia a jornada completa;2761.3;A
